epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.3057,0,64.3136,0,0,0,0,0,0,17.2188,0,1.667e-05,1.667e-05,1.667e-05
2,1.97167,0,64.5067,0,0,0,0,0,0,17.2188,0,4.90198e-05,4.90198e-05,4.90198e-05
3,2.57102,0,64.5359,0,0,0,0,0,0,17.2188,0,8.00493e-05,8.00493e-05,8.00493e-05
4,3.13254,0,64.5222,0,0,0,0,0,0,17.2188,0,0.000109759,0.000109759,0.000109759
5,3.93698,0,65.8118,0,0,0,0,0,0,17.2188,0,0.000138148,0.000138148,0.000138148
6,4.83487,0,64.8113,0,0,0,0,0,0,17.2188,0,0.000165216,0.000165216,0.000165216
7,6.03729,0,62.6225,0,0,0,0,0,0,17.2188,0,0.000190965,0.000190965,0.000190965
8,7.20165,0,61.715,0,0,0,0,0,0,17.2188,0,0.000215393,0.000215393,0.000215393
9,8.38281,0,60.8501,0,0,0,0,0,0,17.2188,0,0.000238501,0.000238501,0.000238501
10,9.37205,0,59.8991,0,0,0,0,0,0,17.2188,0,0.000260289,0.000260289,0.000260289
11,10.057,0,58.4516,0,0,0,0,0,0,17.2188,0,0.000280756,0.000280756,0.000280756
12,10.9731,0,57.4997,0,0,0,0,0,0,17.2188,0,0.000299903,0.000299903,0.000299903
13,11.6847,0,56.8616,0,0,0,0,0,0,17.2188,0,0.00031773,0.00031773,0.00031773
14,12.4085,0,56.0582,0,0,0,0,0,0,17.2188,0,0.000334237,0.000334237,0.000334237
15,13.1115,0,54.8604,0,0,0,0,0,0,17.2188,0,0.000349423,0.000349423,0.000349423
16,14.2118,0,54.3041,0,0,0,0,0,0,17.2188,0,0.000363289,0.000363289,0.000363289
17,14.9836,0,53.6453,0,0,0,0,0,0,17.2188,0,0.000375835,0.000375835,0.000375835
18,15.6896,0,52.0527,0,0,0,0,0,0,17.2188,0,0.000387061,0.000387061,0.000387061
19,16.5043,0,52.0743,0,0,0,0,0,0,11.0781,0,0.000396966,0.000396966,0.000396966
20,17.2938,0,50.847,0,0,0,0,0,0,11.0781,0,0.000405551,0.000405551,0.000405551
21,17.961,0,51.4065,0,0,0,0,0,0,10.0391,0,0.000412816,0.000412816,0.000412816
22,18.9189,0,49.9332,0,0,0,0,0,0,10.0391,0,0.00041876,0.00041876,0.00041876
23,20.1019,0,49.8718,0,0,0,0,0,0,9.83594,0,0.000423385,0.000423385,0.000423385
24,21.1666,0,49.0432,0,0,0,0,0,0,9.83594,0,0.000426689,0.000426689,0.000426689
25,22.362,0,48.9913,0,0,0,0,0,0,9.45312,0,0.000428672,0.000428672,0.000428672
26,23.295,0,48.0678,0,0,0,0,0,0,9.45312,0,0.000429336,0.000429336,0.000429336
27,24.1139,0,48.2997,0,0,0,0,0,0,9.45312,0,0.000428679,0.000428679,0.000428679
28,24.8457,0,47.5907,0,0,0,0,0,0,8.6875,0,0.000426702,0.000426702,0.000426702
29,25.5639,0,47.6023,0,0,0,0,0,0,8.6875,0,0.000423405,0.000423405,0.000423405
30,26.5809,0,47.1765,0,0,0,0,0,0,8.66406,0,0.000418787,0.000418787,0.000418787
31,27.3138,0,46.7017,0,0,0,0,0,0,8.66406,0,0.000412849,0.000412849,0.000412849
32,28.0214,0,46.3158,0,0,0,0,0,0,8.66406,0,0.000405591,0.000405591,0.000405591
33,28.7011,0,46.4287,0,0,0,0,0,0,8.66406,0,0.000397013,0.000397013,0.000397013
34,29.5416,0,46.0278,0,0,0,0,0,0,8.66406,0,0.000387114,0.000387114,0.000387114
35,30.2525,0,46.2966,0,0,0,0,0,0,8.66406,0,0.000375895,0.000375895,0.000375895
36,30.9957,0,45.8408,0,0,0,0,0,0,8.67188,0,0.000363356,0.000363356,0.000363356
37,31.9802,0,45.0618,0,0,0,0,0,0,8.67188,0,0.000349497,0.000349497,0.000349497
38,32.6958,0,45.3956,0,0,0,0,0,0,8.67188,0,0.000334317,0.000334317,0.000334317
39,33.6727,0,44.9542,0,0,0,0,0,0,8.67969,0,0.000317817,0.000317817,0.000317817
40,34.7639,0,45.1527,0,0,0,0,0,0,8.67969,0,0.000299997,0.000299997,0.000299997
41,37.4574,0,45.3528,0,0,0,0,0,0,8.67969,0,0.000280856,0.000280856,0.000280856
42,38.4934,0,44.9936,0,0,0,0,0,0,8.67969,0,0.000260395,0.000260395,0.000260395
43,39.3368,0,44.8336,0,0,0,0,0,0,8.67969,0,0.000238614,0.000238614,0.000238614
44,40.0729,0,44.6489,0,0,0,0,0,0,8.67969,0,0.000215513,0.000215513,0.000215513
45,41.0711,0,44.7461,0,0,0,0,0,0,8.67969,0,0.000191092,0.000191092,0.000191092
46,41.9973,0,44.6587,0,0,0,0,0,0,8.67969,0,0.00016535,0.00016535,0.00016535
47,42.6544,0,44.2337,0,0,0,0,0,0,8.67969,0,0.000138288,0.000138288,0.000138288
48,43.3132,0,45.3334,0,0,0,0,0,0,8.67969,0,0.000109905,0.000109905,0.000109905
49,43.9219,0,44.4604,0,0,0,0,0,0,8.67969,0,8.02027e-05,8.02027e-05,8.02027e-05
50,44.9562,0,44.5432,0,0,0,0,0,0,8.67188,0,4.91798e-05,4.91798e-05,4.91798e-05
