epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.15227,0,24.5901,0,0,0,0,0,0,8.6875,0,5.001e-05,5.001e-05,5.001e-05
2,3.16784,0,22.7927,0,0,0,0,0,0,9.41406,0,0.000115535,0.000115535,0.000115535
3,4.75678,0,22.5372,0,0,0,0,0,0,8.66406,0,0.000179739,0.000179739,0.000179739
4,6.25861,0,22.2872,0,0,0,0,0,0,8.66406,0,0.000242624,0.000242624,0.000242624
5,7.7187,0,22.3335,0,0,0,0,0,0,8.66406,0,0.000304187,0.000304187,0.000304187
6,8.70126,0,22.2992,0,0,0,0,0,0,8.83594,0,0.000364431,0.000364431,0.000364431
7,9.53769,0,22.0444,0,0,0,0,0,0,8.83594,0,0.000423355,0.000423355,0.000423355
8,10.6448,0,22.2182,0,0,0,0,0,0,15.4688,0,0.000480958,0.000480958,0.000480958
9,11.7027,0,21.8663,0,0,0,0,0,0,13.2109,0,0.000537241,0.000537241,0.000537241
10,12.5654,0,21.9767,0,0,0,0,0,0,13.2109,0,0.000592203,0.000592203,0.000592203
11,13.5119,0,21.6472,0,0,0,0,0,0,8.75,0,0.000645846,0.000645846,0.000645846
12,14.3832,0,21.5965,0,0,0,0,0,0,8.75,0,0.000698168,0.000698168,0.000698168
13,15.2723,0,21.4539,0,0,0,0,0,0,8.63281,0,0.00074917,0.00074917,0.00074917
14,16.1253,0,21.2875,0,0,0,0,0,0,8.63281,0,0.000798851,0.000798851,0.000798851
15,17.557,0,21.315,0,0,0,0,0,0,8.64062,0,0.000847213,0.000847213,0.000847213
16,18.9348,0,20.9177,0,0,0,0,0,0,8.64062,0,0.000894254,0.000894254,0.000894254
17,20.829,0,21.004,0,0,0,0,0,0,8.64062,0,0.000939975,0.000939975,0.000939975
18,21.943,0,20.9572,0,0,0,0,0,0,8.60938,0,0.000984375,0.000984375,0.000984375
19,23.0144,0,20.6892,0,0,0,0,0,0,8.60938,0,0.00102746,0.00102746,0.00102746
20,23.9761,0,20.6388,0,0,0,0,0,0,8.60938,0,0.00106922,0.00106922,0.00106922
21,24.9869,0,20.6208,0,0,0,0,0,0,8.60938,0,0.00110966,0.00110966,0.00110966
22,26.175,0,20.5162,0,0,0,0,0,0,8.88281,0,0.00114877,0.00114877,0.00114877
23,27.0483,0,20.373,0,0,0,0,0,0,8.88281,0,0.00118657,0.00118657,0.00118657
24,27.9533,0,20.3731,0,0,0,0,0,0,8.88281,0,0.00122305,0.00122305,0.00122305
25,28.8079,0,20.3059,0,0,0,0,0,0,8.88281,0,0.00125821,0.00125821,0.00125821
26,29.665,0,20.1724,0,0,0,0,0,0,869,0,0.00125442,0.00125442,0.00125442
27,30.5982,0,19.9483,0,0,0,0,0,0,869,0,0.00123791,0.00123791,0.00123791
28,31.527,0,19.9862,0,0,0,0,0,0,869,0,0.00122141,0.00122141,0.00122141
29,33.287,0,19.9697,0,0,0,0,0,0,869,0,0.00120491,0.00120491,0.00120491
30,34.5578,0,19.8223,0,0,0,0,0,0,1220,0,0.0011884,0.0011884,0.0011884
31,35.7161,0,19.5774,0,0,0,0,0,0,1220,0,0.0011719,0.0011719,0.0011719
32,36.6513,0,19.6235,0,0,0,0,0,0,1220,0,0.0011554,0.0011554,0.0011554
33,37.5392,0,19.6081,0,0,0,0,0,0,1220,0,0.00113889,0.00113889,0.00113889
34,38.5898,0,19.4641,0,0,0,0,0,0,435,0,0.00112239,0.00112239,0.00112239
35,39.5408,0,19.3599,0,0,0,0,0,0,435,0,0.00110589,0.00110589,0.00110589
36,40.5131,0,19.274,0,0,0,0,0,0,435,0,0.00108938,0.00108938,0.00108938
37,41.3741,0,19.2736,0,0,0,0,0,0,435,0,0.00107288,0.00107288,0.00107288
38,42.4782,0,19.1001,0,0,0,0,0,0,11.8047,0,0.00105638,0.00105638,0.00105638
39,43.3518,0,18.9468,0,0,0,0,0,0,11.8047,0,0.00103987,0.00103987,0.00103987
40,44.4383,0,19.1169,0,0,0,0,0,0,11.8047,0,0.00102337,0.00102337,0.00102337
41,45.3225,0,18.8848,0,0,0,0,0,0,11.8047,0,0.00100687,0.00100687,0.00100687
42,46.7101,0,18.8989,0,0,0,0,0,0,61.1875,0,0.000990365,0.000990365,0.000990365
43,48.0593,0,18.9411,0,0,0,0,0,0,61.1875,0,0.000973861,0.000973861,0.000973861
44,49.5917,0,18.9233,0,0,0,0,0,0,61.1875,0,0.000957358,0.000957358,0.000957358
45,50.6303,0,18.9712,0,0,0,0,0,0,61.1875,0,0.000940855,0.000940855,0.000940855
46,51.5006,0,18.8203,0,0,0,0,0,0,338.5,0,0.000924352,0.000924352,0.000924352
47,52.324,0,18.7126,0,0,0,0,0,0,338.5,0,0.000907848,0.000907848,0.000907848
48,53.2833,0,18.7394,0,0,0,0,0,0,338.5,0,0.000891345,0.000891345,0.000891345
49,54.2214,0,18.6899,0,0,0,0,0,0,338.5,0,0.000874842,0.000874842,0.000874842
50,55.1706,0,18.6376,0,0,0,0,0,0,2256,0,0.000858338,0.000858338,0.000858338
51,56.3119,0,18.5619,0,0,0,0,0,0,2256,0,0.000841835,0.000841835,0.000841835
52,57.2292,0,18.5546,0,0,0,0,0,0,2256,0,0.000825332,0.000825332,0.000825332
53,58.0739,0,18.5326,0,0,0,0,0,0,2256,0,0.000808828,0.000808828,0.000808828
54,58.9718,0,18.4216,0,0,0,0,0,0,1418,0,0.000792325,0.000792325,0.000792325
55,59.8079,0,18.3565,0,0,0,0,0,0,1418,0,0.000775822,0.000775822,0.000775822
